Launch Date,Status,Active/Fatigued,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue,REV ROAS,Impressions,3 Sec Views,Video Plays at 25%,Video Plays at 50%,Video Plays at 75%,Video Plays at 100%,ThruPlays,Clicks,LP Views,Leads,Applications,Qualified Applications,Booked Calls,Shown Calls,Closes,Cash Collected,Revenue
1/21/2026,Loser,,VHK22_IThoughtCostMore | VB6_MovingOffBecauseCost | VV8_UGC_CostAngle2_WhiteWoman,$183.40,4,$45.85,4,$45.85,3,$61.13,2,$91.70,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$183.40,18.36%,21.27%,$92.02,"1,993",366,424,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Loser,,VHK23_IBudgetedMore | VB7_LessThanWhatIBudgeted | VV9_UGC_SavingsAngle_WhiteWoman,$438.59,2,$219.30,2,$219.30,1,$438.59,1,$438.59,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$438.59,9.67%,10.34%,$108.72,"4,034",390,417,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Loser,,VHK24_IThoughtMyMove | VB7_LessThanWhatIBudgeted | VV9_UGC_SavingsAngle_WhiteWoman,$850.85,13,$65.45,10,$85.09,2,$425.43,0,#DIV/0!,1,$850.85,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$850.85,7.61%,7.76%,$104.91,"8,110",617,629,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Testing,,VHK19_Iassumed | VB5_BiggestWorry | VV10_UGC_CostAngle1_AsianWoman,$431.70,2,$215.85,2,$215.85,3,$143.90,1,$431.70,2,$215.85,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$431.70,11.44%,12.09%,$90.94,"4,747",543,574,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Winner,,VHK20_Ialmostdidn't | VB5_BiggestWorry | VV10_UGC_CostAngle1_AsianWoman,$601.44,16,$37.59,11,$54.68,7,$85.92,3,$200.48,2,$300.72,1,$601.44,$100.00,$100.00,0.17,-$501.44,8.20%,8.48%,$83.58,"7,196",590,610,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Testing,,VHK21_NoOneTellsYou | VB6_MovingOffBecauseCost | VV11_UGC_CostAngle2_AsianWoman,$276.37,5,$55.27,3,$92.12,6,$46.06,1,$276.37,1,$276.37,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$276.37,9.40%,9.81%,$70.06,"3,945",371,387,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Testing,,VHK22_IThoughtCostMore | VB6_MovingOffBecauseCost | VV11_UGC_CostAngle2_AsianWoman,$204.35,8,$25.54,4,$51.09,4,$51.09,1,$204.35,2,$102.18,1,$204.35,$736.38,$736.38,3.60,$532.03,11.11%,11.54%,$88.31,"2,314",257,267,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Testing,,VHK23_IBudgetedMore | VB7_LessThanWhatIBudgeted | VV12_UGC_SavingsAngle_AsianWoman,$578.23,11,$52.57,6,$96.37,11,$52.57,2,$289.12,2,$289.12,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$578.23,10.22%,10.83%,$81.53,"7,092",725,768,,,,,,,,,,,,,,,,,,,,,
1/21/2026,On the fence,,VHK24_IThoughtMyMove | VB7_LessThanWhatIBudgeted | VV12_UGC_SavingsAngle_AsianWoman,"$1,439.10",53,$27.15,19,$75.74,16,$89.94,2,$719.55,4,$359.78,0,#DIV/0!,$0.00,#DIV/0!,0.00,"-$1,439.10",6.95%,7.06%,$64.22,"22,410","1,557","1,583",,,,,,,,,,,,,,,,,,,,,
1/29/2026,Loser,,VHK25_Barbara | VB8_AnotherHappyCustomer | VV13_IGTestimonial,$582.99,9,$64.78,5,$116.60,5,$116.60,1,$582.99,2,$291.50,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$582.99,5.53%,4.53%,$69.37,"8,404",465,381,,,,,,,,,,,,,,,,,,,,,
2/17/2026,On the fence,,Done For You - Problem-Solution Lead 1 - CIDYHXHG5C,$32.93,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$32.93,18.83%,19.43%,$66.66,494,93,96,,,,,,,,,,,,,,,,,,,,,
2/17/2026,Testing,,Done For You - Problem-Solution Lead 2 - CID2Z5LX92,$75.41,2,$37.71,2,$37.71,1,$75.41,0,#DIV/0!,1,$75.41,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$75.41,8.52%,8.52%,$86.78,869,74,74,,,,,,,,,,,,,,,,,,,,,
2/17/2026,Testing,,Done For You - Problem-Solution Lead 3 - CID5P9LMHL,$512.05,10,$51.21,9,$56.89,5,$102.41,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$512.05,3.04%,2.50%,$76.30,"6,711",204,168,,,,,,,,,,,,,,,,,,,,,
2/17/2026,Testing,,Done For You - Problem-Solution Lead 4 - CIDS069ALR,$39.21,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$39.21,14.49%,15.73%,$81.18,483,70,76,,,,,,,,,,,,,,,,,,,,,
2/17/2026,On the fence,,Done For You - Problem-Solution Lead 5 - CID2V10TCW,$799.92,11,$72.72,8,$99.99,7,$114.27,2,$399.96,3,$266.64,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$799.92,5.02%,4.42%,$89.10,"8,978",451,397,,,,,,,,,,,,,,,,,,,,,
2/23/2026,Testing,,Done For You - Problem-Solution Lead 6 - CIDBTPT5T7,$168.74,4,$42.19,2,$84.37,6,$28.12,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$168.74,10.84%,11.31%,$78.52,"2,149",233,243,,,,,,,,,,,,,,,,,,,,,
2/23/2026,Testing,,Done For You - Problem-Solution Lead 7 - CIDDG30R3P,$64.55,1,$64.55,1,$64.55,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,1,$64.55,"$2,028.00","$2,028.00",31.42,"$1,963.45",10.46%,10.22%,$78.53,822,86,84,,,,,,,,,,,,,,,,,,,,,
2/23/2026,Testing,,Done For You - Problem-Solution Lead 8 - CIDP5JTM1Z,$151.15,5,$30.23,3,$50.38,3,$50.38,0,#DIV/0!,1,$151.15,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$151.15,13.30%,13.95%,$82.37,"1,835",244,256,,,,,,,,,,,,,,,,,,,,,
2/23/2026,Testing,,Done For You - Problem-Solution Lead 9 - CIDE5XBSEZ,$80.87,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$80.87,8.67%,10.06%,$86.58,934,81,94,,,,,,,,,,,,,,,,,,,,,
2/23/2026,Testing,,Done For You - Problem-Solution Lead 10 - CID0435EPI,$143.14,1,$143.14,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$143.14,7.61%,7.74%,$91.52,"1,564",119,121,,,,,,,,,,,,,,,,,,,,,
