Name,Cost,Cost per Click,Leads,Cost per Lead,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,ROAS,Profit,Ad Set ID,Category ID,Account ID
VHK11_TruckInsured | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 11-16-2025,269.33,3.54,1,269.33,0,0,0,0,-,0,-,0,0,0,0,0,-269.33,120239374961410350,120235716942630350,1400488071021805
VHK10_MovesStartingAt1597 | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 11-16-2025,764,3.07,8,95.50,7,109.14,0,0,-,0,-,0,0,0,0,0,-764,120239374961410350,120235716942630350,1400488071021805
SC79_NotAllMovingQuotes | SV30_EducationalLayout | CHK1_SaveUpTo50 | CB1_Savings | 1-28-2026,121.66,1.71,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-121.66,120243308988760350,120235716942630350,1400488071021805
VAM Crew Members - Organic Looking 1 - CIDQG45LVZ | CHK23_IWasAbout | CB10_3BR-SOCIALPROOFANGLE | 02-26-2026,672.77,6.87,4,168.19,4,168.19,0,0,-,0,-,0,0,0,0,0,-672.77,120244621374850350,120244621144460350,1400488071021805
SC43_MoveTimeline | SV22_TruckCalendar | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,335.49,5.01,5,67.10,2,167.75,3,111.83,-,0,1,335.49,0,0,0,0,-335.49,120242664785190350,120235716942630350,1400488071021805
Similar Customer Proof - Offer Lead 8 - CIDRRJQ28D | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026,24.22,2.20,5,4.84,3,8.07,0,0,-,0,-,0,0,0,0,0,-24.22,120244008392690350,120235716942630350,1400488071021805
SC81_BeforeYouBook | SV30_EducationalLayout | CHK1_SaveUpTo50 | CB1_Savings | 1-28-2026,42.55,3.87,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-42.55,120243308988760350,120235716942630350,1400488071021805
SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 02-04-2026,662.19,5.66,9,73.58,9,73.58,0,0,-,0,1,662.19,0,0,0,0,-662.19,120243579426010350,120243579426030350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-23-2026 - Copy,96.11,0.53,1,96.11,1,96.11,0,0,-,0,-,0,0,0,0,0,-96.11,120244295268190350,120244295268220350,1400488071021805
SC25_LongDistance1597HolidayV3CTA1 | SV17_TruckBackHolidayV2 | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-9-2025,957.19,4,18,53.18,13,73.63,3,319.06,1,957.19,1,957.19,0,0,0,0,-957.19,120240988242510350,120235716942630350,1400488071021805
SC83_HowMoversSneakExtraFees | SV31_AppleNoteLight | CB1_Savings | 02-23-2026 - Copy,209.70,1.13,3,69.90,3,69.90,7,29.96,-,0,-,0,0,0,0,0,-209.70,120244295268190350,120244295268220350,1400488071021805
3BR Customer Relief - Offer Lead 3 - CIDOQ2J5NF | CB7_MovingA2Bedroom | 02-23-2026,16.83,2.40,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-16.83,120244292141040350,120235716942630350,1400488071021805
Visual Move Proof - Offer Lead 4 - CIDN0ITFCD | CHK1_SaveUpTo50 | CB1_Savings | 02-17-2026,188.86,3.10,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-188.86,120244123930120350,120235716942630350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 2-4-2026,46.71,0.34,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-46.71,120243579613250350,120243579613300350,1400488071021805
SC89_CityPricesV5 | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,224.95,2.03,5,44.99,5,44.99,2,112.48,-,0,-,0,0,0,0,0,-224.95,120243425931140350,120235716942630350,1400488071021805
SC86_CityPricesV2 | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,174.03,3.16,1,174.03,1,174.03,0,0,-,0,-,0,0,0,0,0,-174.03,120243425931140350,120235716942630350,1400488071021805
SC90_CityPricesV6 | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,318.88,3.32,5,63.78,4,79.72,0,0,-,0,-,0,0,0,0,0,-318.88,120243425931140350,120235716942630350,1400488071021805
SC44_NoCopy | SV23_BeforeAndAfter | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,366.53,6.01,11,33.32,8,45.82,40,9.16,1,366.53,2,183.27,0,0,0,0,-366.53,120242666692480350,120235716942630350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 2-8-2026,134.51,4.64,4,33.63,2,67.26,2,67.26,-,0,1,134.51,0,0,0,0,-134.51,120244292001600350,120243697019070350,1400488071021805
SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 1-29-2026,293.39,4.02,4,73.35,4,73.35,3,97.80,1,293.39,-,0,0,0,0,0,-293.39,120243382507710350,120243382507680350,1400488071021805
3BR Owner Stories - Offer Lead 1 - CIDOKLX6QA | CB7_MovingA2Bedroom | 02-23-2026,9.28,9.28,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-9.28,120244295519780350,120244295519740350,1400488071021805
SC16_CompanyvsVAM | SV12_UsvsThem | CHK5_CallNow | CB2_StressFree | 11-11-2025,354.65,6.69,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-354.65,120239088264560350,120235716942630350,1400488071021805
SC94_SingleV4 | SV33_CopyAds | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,66.15,0.84,3,22.05,2,33.08,2,33.08,1,66.15,-,0,0,0,0,0,-66.15,120243425969820350,120235716942630350,1400488071021805
SC91_SingleV1 | SV33_CopyAds | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,208.62,3.86,1,208.62,0,0,0,0,-,0,-,0,0,0,0,0,-208.62,120243425969820350,120235716942630350,1400488071021805
VHK23_IBudgetedMore | VB7_LessThanWhatIBudgeted | VV9_UGC_SavingsAngle_WhiteWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026,438.59,1.05,2,219.30,2,219.30,1,438.59,1,438.59,-,0,0,0,0,0,-438.59,120243092394970350,120235716942630350,1400488071021805
Stress-Free Exists - Proclamation Lead 2 - CIDKTY2Z1O | CB7_MovingA2Bedroom | 03-03-2026,54.22,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-54.22,120244824684000350,120235716942630350,1400488071021805
Excited Transformation - Proclamation Lead 2 - CIDRNZ1UVN | CB7_MovingA2Bedroom | 02-25-2026,459.36,1.30,4,114.84,3,153.12,5,91.87,3,153.12,-,0,0,0,0,0,-459.36,120244564744370350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 7 - CIDA7W1DSK | CB7_MovingA2Bedroom | 02-23-2026,10.01,5.01,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-10.01,120244295994240350,120244295994470350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK22_MovingYourEntire | CB9_3BR-POSITIONINGANGLE | 02-26-2026,207.68,7.69,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-207.68,120244621374680350,120244621144460350,1400488071021805
