"Ad name","Amount spent (USD)",Impressions,"Clicks (all)","Link clicks","Reporting starts","Reporting ends"
"VHK23_IBudgetedMore | VB7_LessThanWhatIBudgeted | VV12_UGC_SavingsAngle_AsianWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026",727.43,8805,865,906,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 02-04-2026",721.06,26247,517,151,2025-09-15,2026-03-03
"3BR Cross-Country Cost - Offer Lead 1 - CIDXFH8QT1 | CHK13_SmarterMoving | CB7_MovingA2Bedroom | 02-23-2026",717.25,16989,227,192,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 2-8-2026",715.13,18602,238,146,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 2-8-2026",713.23,11341,146,93,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK4_WeGotYouCovered | CB2_StressFree | 09-30-2025",711.16,17106,250,131,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 10-28-2025",710.73,8608,145,112,2025-09-15,2026-03-03
"VAM Crew Members - Organic Looking 2 - CID3HKSZUJ | CHK1_SaveUpTo50 | CB1_Savings | 02-23-2026",707.8,32038,232,178,2025-09-15,2026-03-03
"Similar Customer Proof - Offer Lead 7 - CIDWODX622 | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026",706.8,24999,443,355,2025-09-15,2026-03-03
"Related Media | CHK4_WeGotYouCovered | CB2_StressFree | 01-25-2026",704.18,19556,549,421,2025-09-15,2026-03-03
"SC4_CityPrices | SV6_TruckFreeway | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",697.7,9924,154,109,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 1-26-2026",696.73,18210,991,797,2025-09-15,2026-03-03
"VHK10_MovesStartingAt1597 | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 12-14-2025",685.98,10899,220,184,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV2_TruckSide2 | CHK4_WeGotYouCovered | CB2_StressFree | 02-04-2026",683.92,11328,131,81,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 01-26-2026",678.31,16551,1201,1080,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV1_TruckSide | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",676.27,7923,116,90,2025-09-15,2026-03-03
"VAM Crew Members - Organic Looking 1 - CIDQG45LVZ | CHK23_IWasAbout | CB10_3BR-SOCIALPROOFANGLE | 02-26-2026",672.77,12114,454,98,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026",670.33,14380,257,79,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK18_Moving | CB8_BeforeYouBook | 2-10-2026",669.12,22893,298,184,2025-09-15,2026-03-03
