Timeline,Date,Spend,Impressions,CPM,Reach,Clicks (all),CTR (all),CPC (all),Clicks (link),CTR (link),CPC (link),Leads,CPL,New Leads,CPNL,Raw Calls ,CPCall,Connected Calls,CPConnected,Connected %,Sales - Book Date,CPA - Book Date,Lead To Close %,Raw Call Close %,Connected Call to Close %,Cash - Book Date,Cash ROAS - Book Date,Sales - Open Date,CPA - Open Date,Cash - Open Date,Cash ROAS - Open Date,
Sunday,"March 1, 2026","$11,235.24","351,552",$31.96,"221,063","6,640",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,111,$101.22,128,$87.78,34,$330.45,15,$749.02,44.12%,2,"$5,617.62",1.80%,5.88%,13.33%,"$2,540.22",0.23,6,"$1,872.54","$8,124.85",0.72,
Monday,"March 2, 2026","$11,447.86","359,152",$31.87,"249,186","5,839",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,106,$108.00,120,$95.40,48,$238.50,18,$635.99,37.50%,15,$763.19,14.15%,31.25%,83.33%,"$26,274.63",2.30,8,"$1,430.98","$11,248.11",0.98,
Tuesday,"March 3, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Wednesday,"March 4, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Thursday,"March 5, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Friday,"March 6, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Saturday,"March 7, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Sunday,"March 8, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Monday,"March 9, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Tuesday,"March 10, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Wednesday,"March 11, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Thursday,"March 12, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Friday,"March 13, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Saturday,"March 14, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Sunday,"March 15, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
